# Values for distances, inclination and Position angle for the galaxies Menon et al 2021b
# Distances adopted from Anand et al 2021, except 3344, 3738, 5253, and 6503 from Sabbi et al 2018
# References for inclination/position angle: Lang_2020, Koribalski_2018, Lang_2020, Meidt_2009, Lang_2020, Oh_2015, Hunter_1998, Colombo_2018, Koribalski_2018, Walter_2008, Greisen_2009, Koribalski_2018, NGC 3738 PA: Vaduvescu_2005
###############################################################################################
# Distance[Mpc]	Error_Distance[Mpc]	Inclination(deg)	P.A(deg)
9.839999999999999858e+00	6.300000000000000044e-01	8.900000000000000355e+00	2.069999999999999929e+01
4.320000000000000284e+00	1.700000000000000122e-01	5.100000000000000000e+01	1.400000000000000000e+01
1.769000000000000128e+01	2.000000000000000000e+00	2.960000000000000142e+01	2.146999999999999886e+02
9.830000000000000071e+00	1.270000000000000018e+00	2.500000000000000000e+01	1.550000000000000000e+02
1.132000000000000028e+01	4.799999999999999822e-01	5.729999999999999716e+01	1.730999999999999943e+02
5.089999999999999858e+00	4.000000000000000222e-01	2.260000000000000142e+01	1.560000000000000000e+02
4.009999999999999787e+00	2.999999999999999889e-01	4.500000000000000000e+01	6.400000000000000000e+01
8.560000000000000497e+00	2.800000000000000266e-01	2.200000000000000000e+01	1.730000000000000000e+02
3.319999999999999840e+00	2.500000000000000000e-01	4.200000000000000000e+01	2.100000000000000000e+01
6.650000000000000355e+00	2.700000000000000178e-01	1.800000000000000000e+01	3.900000000000000000e+01
6.299999999999999822e+00	5.000000000000000000e-01	7.509999999999999432e+01	1.350000000000000000e+02
3.620000000000000107e+00	1.499999999999999944e-01	5.500000000000000000e+01	9.800000000000000000e+01
