#Scale radii of galaxies obtained from the Spitzer Survey of Stellar Structure in Galaxies
#https://ui.adsabs.harvard.edu/abs/2015yCat..22190004S/abstract

982 NGC0628 0.935 9.117 0.858 -38.91 69.34 20.318
1162 NGC1313 0.917 9.483 0.891 -1.53 79.84 20.990
1314 NGC1566 0.374 10.247 0.780 -23.28 44.30 18.401
1675 NGC3344 0.925 9.784 0.891 -37.25 42.34 19.913
1815 NGC3627 0.778 8.557 0.584 -13.77 53.95 19.213
1903 NGC3738 0.873 12.014 0.761 -21.97 24.25 20.933
2395 NGC4449 0.823 9.938 0.706 71.03 43.38 20.120
2859 NGC5194 0.872 7.853 0.840 39.15 84.20 19.475
1388 NGC5253 0.674 10.874 0.469 42.22 30.94 20.322
2988 NGC5457 0.950 7.879 0.929 37.69 127.30 20.399
3321 NGC6503 0.996 9.775 0.352 -59.85 29.63 19.129
3549 NGC7793 0.996 9.120 0.613 -83.31 75.05 20.492
